num_threads,image,duration
10,image1.pgm,0.000402
11,image1.pgm,0.000930
11,image1.pgm,0.000356
11,image1.pgm,0.000480
11,image1.pgm,0.000384
11,image1.pgm,0.000380
11,image1.pgm,0.000363
11,image1.pgm,0.000378
11,image1.pgm,0.002060
11,image1.pgm,0.000488
11,image1.pgm,0.000420
11,image1.pgm,0.000352
11,image1.pgm,0.000440
11,image1.pgm,0.000405
11,image1.pgm,0.000368
11,image1.pgm,0.000358
11,image1.pgm,0.000367
11,image1.pgm,0.000349
11,image1.pgm,0.000370
11,image1.pgm,0.000379
11,image1.pgm,0.000467
12,image1.pgm,0.027391
12,image1.pgm,0.021692
12,image1.pgm,0.000376
12,image1.pgm,0.021218
12,image1.pgm,0.004721
12,image1.pgm,0.016920
12,image1.pgm,0.036478
12,image1.pgm,0.000542
12,image1.pgm,0.002812
12,image1.pgm,0.000553
12,image1.pgm,0.005796
12,image1.pgm,0.000507
12,image1.pgm,0.033192
12,image1.pgm,0.004739
12,image1.pgm,0.019410
12,image1.pgm,0.018683
12,image1.pgm,0.000474
12,image1.pgm,0.018449
12,image1.pgm,0.002689
12,image1.pgm,0.000428
13,image1.pgm,0.037973
13,image1.pgm,0.032976
13,image1.pgm,0.038899
13,image1.pgm,0.011566
13,image1.pgm,0.026037
13,image1.pgm,0.004003
13,image1.pgm,0.040489
13,image1.pgm,0.003157
13,image1.pgm,0.029131
13,image1.pgm,0.015555
13,image1.pgm,0.026604
13,image1.pgm,0.004813
13,image1.pgm,0.004727
13,image1.pgm,0.001077
13,image1.pgm,0.002915
13,image1.pgm,0.000732
13,image1.pgm,0.034943
13,image1.pgm,0.015238
13,image1.pgm,0.024264
13,image1.pgm,0.034290
14,image1.pgm,0.032964
14,image1.pgm,0.030772
14,image1.pgm,0.044304
14,image1.pgm,0.033053
14,image1.pgm,0.019805
14,image1.pgm,0.022232
14,image1.pgm,0.016471
14,image1.pgm,0.043404
14,image1.pgm,0.000703
14,image1.pgm,0.031290
14,image1.pgm,0.026638
14,image1.pgm,0.016271
14,image1.pgm,0.037178
14,image1.pgm,0.030994
14,image1.pgm,0.032899
14,image1.pgm,0.018584
14,image1.pgm,0.031504
14,image1.pgm,0.019663
14,image1.pgm,0.021465
14,image1.pgm,0.034180
15,image1.pgm,0.042270
15,image1.pgm,0.044856
15,image1.pgm,0.038212
15,image1.pgm,0.021122
15,image1.pgm,0.033670
15,image1.pgm,0.015248
15,image1.pgm,0.038480
15,image1.pgm,0.043795
15,image1.pgm,0.034403
15,image1.pgm,0.034181
15,image1.pgm,0.010714
15,image1.pgm,0.035553
15,image1.pgm,0.009169
15,image1.pgm,0.016470
15,image1.pgm,0.026426
15,image1.pgm,0.011715
15,image1.pgm,0.009508
15,image1.pgm,0.020566
15,image1.pgm,0.007802
15,image1.pgm,0.041580
16,image1.pgm,0.029788
16,image1.pgm,0.021950
16,image1.pgm,0.040515
16,image1.pgm,0.034254
16,image1.pgm,0.056794
16,image1.pgm,0.040856
16,image1.pgm,0.057452
16,image1.pgm,0.032671
16,image1.pgm,0.046042
16,image1.pgm,0.027017
16,image1.pgm,0.047083
16,image1.pgm,0.032019
16,image1.pgm,0.034380
16,image1.pgm,0.022325
16,image1.pgm,0.043426
16,image1.pgm,0.034384
16,image1.pgm,0.036990
16,image1.pgm,0.013446
16,image1.pgm,0.042910
16,image1.pgm,0.023020
1,MontagneFoncee.pgm,0.001334
1,MontagneFoncee.pgm,0.001324
1,MontagneFoncee.pgm,0.001332
1,MontagneFoncee.pgm,0.001343
1,MontagneFoncee.pgm,0.001338
1,MontagneFoncee.pgm,0.001330
1,MontagneFoncee.pgm,0.001329
1,MontagneFoncee.pgm,0.001322
1,MontagneFoncee.pgm,0.001329
1,MontagneFoncee.pgm,0.001329
1,MontagneFoncee.pgm,0.001326
1,MontagneFoncee.pgm,0.001328
1,MontagneFoncee.pgm,0.001326
1,MontagneFoncee.pgm,0.001334
1,MontagneFoncee.pgm,0.001331
1,MontagneFoncee.pgm,0.001329
1,MontagneFoncee.pgm,0.001324
1,MontagneFoncee.pgm,0.001324
1,MontagneFoncee.pgm,0.001332
1,MontagneFoncee.pgm,0.001331
2,MontagneFoncee.pgm,0.001091
2,MontagneFoncee.pgm,0.001259
2,MontagneFoncee.pgm,0.001260
2,MontagneFoncee.pgm,0.002357
2,MontagneFoncee.pgm,0.001257
2,MontagneFoncee.pgm,0.001251
2,MontagneFoncee.pgm,0.002163
2,MontagneFoncee.pgm,0.001257
2,MontagneFoncee.pgm,0.001259
2,MontagneFoncee.pgm,0.001263
2,MontagneFoncee.pgm,0.001266
2,MontagneFoncee.pgm,0.001256
2,MontagneFoncee.pgm,0.001256
2,MontagneFoncee.pgm,0.002487
2,MontagneFoncee.pgm,0.001256
2,MontagneFoncee.pgm,0.001260
2,MontagneFoncee.pgm,0.001264
2,MontagneFoncee.pgm,0.001257
2,MontagneFoncee.pgm,0.001228
2,MontagneFoncee.pgm,0.001255
3,MontagneFoncee.pgm,0.000863
3,MontagneFoncee.pgm,0.000901
3,MontagneFoncee.pgm,0.000901
3,MontagneFoncee.pgm,0.000898
3,MontagneFoncee.pgm,0.000890
3,MontagneFoncee.pgm,0.000894
3,MontagneFoncee.pgm,0.000894
3,MontagneFoncee.pgm,0.000901
3,MontagneFoncee.pgm,0.000898
3,MontagneFoncee.pgm,0.000890
3,MontagneFoncee.pgm,0.000898
3,MontagneFoncee.pgm,0.000892
3,MontagneFoncee.pgm,0.000900
3,MontagneFoncee.pgm,0.000894
3,MontagneFoncee.pgm,0.000898
3,MontagneFoncee.pgm,0.000896
3,MontagneFoncee.pgm,0.000899
3,MontagneFoncee.pgm,0.000905
3,MontagneFoncee.pgm,0.000890
3,MontagneFoncee.pgm,0.000894
4,MontagneFoncee.pgm,0.000738
4,MontagneFoncee.pgm,0.001000
4,MontagneFoncee.pgm,0.000726
4,MontagneFoncee.pgm,0.000728
4,MontagneFoncee.pgm,0.001944
4,MontagneFoncee.pgm,0.000736
4,MontagneFoncee.pgm,0.000720
4,MontagneFoncee.pgm,0.000724
4,MontagneFoncee.pgm,0.000727
4,MontagneFoncee.pgm,0.000733
4,MontagneFoncee.pgm,0.000747
4,MontagneFoncee.pgm,0.000732
4,MontagneFoncee.pgm,0.000728
4,MontagneFoncee.pgm,0.000728
4,MontagneFoncee.pgm,0.000736
4,MontagneFoncee.pgm,0.000732
