number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed,node_3_lines_handled,node_3_duration(ms),node_3_name,node_3_arch,node_3_speed,node_4_lines_handled,node_4_duration(ms),node_4_name,node_4_arch,node_4_speed
5,image1.pgm,38,48,0,abe-a-05,LINUX64,1000,48,0,abe-a-05,LINUX64,1000,45,0,abe-a-17,LINUX64,1000,45,0,abe-a-10,LINUX64,1000,37,0,abe-a-13,LINUX64,1000
5,image1.pgm,42,44,0,abe-a-05,LINUX64,1000,44,0,abe-a-05,LINUX64,1000,40,0,abe-a-17,LINUX64,1000,46,0,abe-a-10,LINUX64,1000,45,0,abe-a-13,LINUX64,1000
5,image1.pgm,45,46,0,abe-a-05,LINUX64,1000,46,0,abe-a-05,LINUX64,1000,40,0,abe-a-17,LINUX64,1000,46,0,abe-a-10,LINUX64,1000,41,0,abe-a-13,LINUX64,1000
5,image1.pgm,45,45,0,abe-a-05,LINUX64,1000,45,0,abe-a-05,LINUX64,1000,40,0,abe-a-17,LINUX64,1000,44,0,abe-a-10,LINUX64,1000,48,0,abe-a-13,LINUX64,1000
5,image1.pgm,43,45,0,abe-a-05,LINUX64,1000,45,0,abe-a-05,LINUX64,1000,46,0,abe-a-17,LINUX64,1000,43,0,abe-a-10,LINUX64,1000,46,0,abe-a-13,LINUX64,1000
5,image1.pgm,43,48,0,abe-a-05,LINUX64,1000,48,0,abe-a-05,LINUX64,1000,45,0,abe-a-17,LINUX64,1000,45,0,abe-a-10,LINUX64,1000,43,0,abe-a-13,LINUX64,1000
5,image1.pgm,43,46,0,abe-a-05,LINUX64,1000,46,0,abe-a-05,LINUX64,1000,44,0,abe-a-17,LINUX64,1000,40,0,abe-a-10,LINUX64,1000,45,0,abe-a-13,LINUX64,1000
5,image1.pgm,44,46,0,abe-a-05,LINUX64,1000,46,0,abe-a-05,LINUX64,1000,44,0,abe-a-17,LINUX64,1000,47,0,abe-a-10,LINUX64,1000,38,0,abe-a-13,LINUX64,1000
5,image1.pgm,45,47,0,abe-a-05,LINUX64,1000,47,0,abe-a-05,LINUX64,1000,43,0,abe-a-17,LINUX64,1000,46,0,abe-a-10,LINUX64,1000,43,0,abe-a-13,LINUX64,1000
5,image1.pgm,44,45,0,abe-a-05,LINUX64,1000,45,0,abe-a-05,LINUX64,1000,44,0,abe-a-17,LINUX64,1000,39,0,abe-a-10,LINUX64,1000,45,0,abe-a-13,LINUX64,1000
5,image1.pgm,42,44,0,abe-a-05,LINUX64,1000,44,0,abe-a-05,LINUX64,1000,41,0,abe-a-17,LINUX64,1000,46,0,abe-a-10,LINUX64,1000,46,0,abe-a-13,LINUX64,1000
5,image1.pgm,44,46,0,abe-a-05,LINUX64,1000,46,0,abe-a-05,LINUX64,1000,45,0,abe-a-17,LINUX64,1000,41,0,abe-a-10,LINUX64,1000,43,0,abe-a-13,LINUX64,1000
5,image1.pgm,43,45,0,abe-a-05,LINUX64,1000,45,0,abe-a-05,LINUX64,1000,46,0,abe-a-17,LINUX64,1000,45,0,abe-a-10,LINUX64,1000,45,0,abe-a-13,LINUX64,1000
5,image1.pgm,45,43,0,abe-a-05,LINUX64,1000,43,0,abe-a-05,LINUX64,1000,44,0,abe-a-17,LINUX64,1000,46,0,abe-a-10,LINUX64,1000,41,0,abe-a-13,LINUX64,1000
5,image1.pgm,43,39,0,abe-a-05,LINUX64,1000,39,0,abe-a-05,LINUX64,1000,46,0,abe-a-17,LINUX64,1000,45,0,abe-a-10,LINUX64,1000,46,0,abe-a-13,LINUX64,1000
5,image1.pgm,44,45,0,abe-a-05,LINUX64,1000,45,0,abe-a-05,LINUX64,1000,47,0,abe-a-17,LINUX64,1000,45,0,abe-a-10,LINUX64,1000,37,0,abe-a-13,LINUX64,1000
5,image1.pgm,44,46,0,abe-a-05,LINUX64,1000,46,0,abe-a-05,LINUX64,1000,42,0,abe-a-17,LINUX64,1000,48,0,abe-a-10,LINUX64,1000,45,0,abe-a-13,LINUX64,1000
5,image1.pgm,43,45,0,abe-a-05,LINUX64,1000,45,0,abe-a-05,LINUX64,1000,49,0,abe-a-17,LINUX64,1000,43,0,abe-a-10,LINUX64,1000,40,0,abe-a-13,LINUX64,1000
5,image1.pgm,43,47,0,abe-a-05,LINUX64,1000,47,0,abe-a-05,LINUX64,1000,46,0,abe-a-17,LINUX64,1000,39,0,abe-a-10,LINUX64,1000,47,0,abe-a-13,LINUX64,1000
5,image1.pgm,43,39,0,abe-a-05,LINUX64,1000,39,0,abe-a-05,LINUX64,1000,44,0,abe-a-17,LINUX64,1000,46,0,abe-a-10,LINUX64,1000,46,0,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,107,99,0,abe-a-05,LINUX64,1000,99,0,abe-a-05,LINUX64,1000,97,10,abe-a-17,LINUX64,1000,102,10,abe-a-10,LINUX64,1000,80,0,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,92,93,0,abe-a-05,LINUX64,1000,93,0,abe-a-05,LINUX64,1000,104,0,abe-a-17,LINUX64,1000,99,10,abe-a-10,LINUX64,1000,112,0,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,93,101,0,abe-a-05,LINUX64,1000,101,0,abe-a-05,LINUX64,1000,108,0,abe-a-17,LINUX64,1000,97,10,abe-a-10,LINUX64,1000,100,0,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,108,98,10,abe-a-05,LINUX64,1000,98,10,abe-a-05,LINUX64,1000,102,10,abe-a-17,LINUX64,1000,101,0,abe-a-10,LINUX64,1000,98,0,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,102,107,0,abe-a-05,LINUX64,1000,107,0,abe-a-05,LINUX64,1000,98,0,abe-a-17,LINUX64,1000,98,10,abe-a-10,LINUX64,1000,74,0,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,90,101,0,abe-a-05,LINUX64,1000,101,0,abe-a-05,LINUX64,1000,105,0,abe-a-17,LINUX64,1000,100,0,abe-a-10,LINUX64,1000,73,0,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,88,108,0,abe-a-05,LINUX64,1000,108,0,abe-a-05,LINUX64,1000,70,0,abe-a-17,LINUX64,1000,101,10,abe-a-10,LINUX64,1000,102,10,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,86,97,10,abe-a-05,LINUX64,1000,97,10,abe-a-05,LINUX64,1000,113,0,abe-a-17,LINUX64,1000,102,0,abe-a-10,LINUX64,1000,100,10,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,107,102,10,abe-a-05,LINUX64,1000,102,10,abe-a-05,LINUX64,1000,102,0,abe-a-17,LINUX64,1000,103,10,abe-a-10,LINUX64,1000,97,0,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,99,105,10,abe-a-05,LINUX64,1000,105,10,abe-a-05,LINUX64,1000,101,0,abe-a-17,LINUX64,1000,97,0,abe-a-10,LINUX64,1000,73,0,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,107,100,0,abe-a-05,LINUX64,1000,100,0,abe-a-05,LINUX64,1000,103,10,abe-a-17,LINUX64,1000,80,10,abe-a-10,LINUX64,1000,104,10,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,109,99,0,abe-a-05,LINUX64,1000,99,0,abe-a-05,LINUX64,1000,102,10,abe-a-17,LINUX64,1000,99,0,abe-a-10,LINUX64,1000,77,10,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,105,100,0,abe-a-05,LINUX64,1000,100,0,abe-a-05,LINUX64,1000,98,10,abe-a-17,LINUX64,1000,100,0,abe-a-10,LINUX64,1000,106,0,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,94,97,10,abe-a-05,LINUX64,1000,97,10,abe-a-05,LINUX64,1000,102,0,abe-a-17,LINUX64,1000,103,0,abe-a-10,LINUX64,1000,104,10,abe-a-13,LINUX64,1000
5,MontagneFoncee.pgm,106,100,0,abe-a-05,LINUX64,1000,100,0,abe-a-05,LINUX64,1000,100,0,abe-a-17,LINUX64,1000,76,10,abe-a-10,LINUX64,1000,102,0,abe-a-13,LINUX64,1000
