number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed,node_3_lines_handled,node_3_duration(ms),node_3_name,node_3_arch,node_3_speed,node_4_lines_handled,node_4_duration(ms),node_4_name,node_4_arch,node_4_speed
5,image1.pgm,96673,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,98456,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,96262,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,98339,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,97778,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,97201,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,97646,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,100276,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,97913,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,96421,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,MontagneFoncee.pgm,275089,96,0,lipsky-b-01,LINUX64,1000,96,0,lipsky-b-01,LINUX64,1000,96,0,lipsky-b-02,LINUX64,1000,96,0,lipsky-b-03,LINUX64,1000,96,0,lipsky-b-04,LINUX64,1000
5,MontagneFoncee.pgm,274023,96,0,lipsky-b-01,LINUX64,1000,96,0,lipsky-b-01,LINUX64,1000,96,0,lipsky-b-02,LINUX64,1000,96,0,lipsky-b-03,LINUX64,1000,96,0,lipsky-b-04,LINUX64,1000
5,MontagneFoncee.pgm,272900,96,0,lipsky-b-01,LINUX64,1000,96,0,lipsky-b-01,LINUX64,1000,96,0,lipsky-b-02,LINUX64,1000,96,0,lipsky-b-03,LINUX64,1000,96,0,lipsky-b-04,LINUX64,1000
5,MontagneFoncee.pgm,273215,96,0,lipsky-b-01,LINUX64,1000,96,0,lipsky-b-01,LINUX64,1000,96,0,lipsky-b-02,LINUX64,1000,96,0,lipsky-b-03,LINUX64,1000,96,0,lipsky-b-04,LINUX64,1000
