number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed,node_3_lines_handled,node_3_duration(ms),node_3_name,node_3_arch,node_3_speed
4,image1.pgm,111064,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114921,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114852,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114700,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,115503,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,113706,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114582,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114251,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,113488,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,115242,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,115331,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,116822,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114444,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114379,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,115186,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114427,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114857,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,115160,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114824,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,image1.pgm,114684,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-01,LINUX64,1000,55,0,lipsky-b-02,LINUX64,1000,55,0,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,322378,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,0,lipsky-b-03,LINUX64,1000
