number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed
2,stavrovouni.pgm,23646692,1376,550,lipsky-b-01,LINUX64,1000,1376,550,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,21607921,1452,600,lipsky-b-01,LINUX64,1000,1452,600,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,21943635,1471,650,lipsky-b-01,LINUX64,1000,1471,650,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,23788159,1369,560,lipsky-b-01,LINUX64,1000,1369,560,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,22788531,1411,570,lipsky-b-01,LINUX64,1000,1411,570,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,22316202,1486,650,lipsky-b-01,LINUX64,1000,1486,650,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,21966231,1438,580,lipsky-b-01,LINUX64,1000,1438,580,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,22017410,1438,590,lipsky-b-01,LINUX64,1000,1438,590,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,22057380,1476,650,lipsky-b-01,LINUX64,1000,1476,650,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,22068102,1473,650,lipsky-b-01,LINUX64,1000,1473,650,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,21944103,1440,590,lipsky-b-01,LINUX64,1000,1440,590,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,21813411,1471,650,lipsky-b-01,LINUX64,1000,1471,650,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,21217520,1442,640,lipsky-b-01,LINUX64,1000,1442,640,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,20760721,1456,640,lipsky-b-01,LINUX64,1000,1456,640,lipsky-b-01,LINUX64,1000
2,stavrovouni.pgm,20899755,1456,640,lipsky-b-01,LINUX64,1000,1456,640,lipsky-b-01,LINUX64,1000
