number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed
3,image1.pgm,51,74,0,abe-a-12,LINUX64,1000,74,0,abe-a-12,LINUX64,1000,81,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,85,0,abe-a-12,LINUX64,1000,85,0,abe-a-12,LINUX64,1000,72,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,73,0,abe-a-12,LINUX64,1000,73,0,abe-a-12,LINUX64,1000,68,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,85,0,abe-a-12,LINUX64,1000,85,0,abe-a-12,LINUX64,1000,64,0,abe-a-07,LINUX64,1000
3,image1.pgm,51,66,0,abe-a-12,LINUX64,1000,66,0,abe-a-12,LINUX64,1000,81,0,abe-a-07,LINUX64,1000
3,image1.pgm,51,65,0,abe-a-12,LINUX64,1000,65,0,abe-a-12,LINUX64,1000,72,0,abe-a-07,LINUX64,1000
3,image1.pgm,50,84,0,abe-a-12,LINUX64,1000,84,0,abe-a-12,LINUX64,1000,72,0,abe-a-07,LINUX64,1000
3,image1.pgm,52,83,0,abe-a-12,LINUX64,1000,83,0,abe-a-12,LINUX64,1000,74,0,abe-a-07,LINUX64,1000
3,image1.pgm,50,70,0,abe-a-12,LINUX64,1000,70,0,abe-a-12,LINUX64,1000,64,0,abe-a-07,LINUX64,1000
3,image1.pgm,52,83,0,abe-a-12,LINUX64,1000,83,0,abe-a-12,LINUX64,1000,65,0,abe-a-07,LINUX64,1000
3,image1.pgm,52,74,0,abe-a-12,LINUX64,1000,74,0,abe-a-12,LINUX64,1000,81,0,abe-a-07,LINUX64,1000
3,image1.pgm,51,72,0,abe-a-12,LINUX64,1000,72,0,abe-a-12,LINUX64,1000,66,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,64,0,abe-a-12,LINUX64,1000,64,0,abe-a-12,LINUX64,1000,73,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,83,0,abe-a-12,LINUX64,1000,83,0,abe-a-12,LINUX64,1000,72,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,80,0,abe-a-12,LINUX64,1000,80,0,abe-a-12,LINUX64,1000,74,0,abe-a-07,LINUX64,1000
3,image1.pgm,52,64,0,abe-a-12,LINUX64,1000,64,0,abe-a-12,LINUX64,1000,73,0,abe-a-07,LINUX64,1000
3,image1.pgm,51,67,0,abe-a-12,LINUX64,1000,67,0,abe-a-12,LINUX64,1000,72,0,abe-a-07,LINUX64,1000
3,image1.pgm,51,83,0,abe-a-12,LINUX64,1000,83,0,abe-a-12,LINUX64,1000,75,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,75,0,abe-a-12,LINUX64,1000,75,0,abe-a-12,LINUX64,1000,83,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,79,0,abe-a-12,LINUX64,1000,79,0,abe-a-12,LINUX64,1000,67,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,81,0,abe-a-12,LINUX64,1000,81,0,abe-a-12,LINUX64,1000,75,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,73,0,abe-a-12,LINUX64,1000,73,0,abe-a-12,LINUX64,1000,82,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,71,0,abe-a-12,LINUX64,1000,71,0,abe-a-12,LINUX64,1000,67,0,abe-a-07,LINUX64,1000
3,image1.pgm,56,82,0,abe-a-12,LINUX64,1000,82,0,abe-a-12,LINUX64,1000,66,0,abe-a-07,LINUX64,1000
3,image1.pgm,59,72,0,abe-a-12,LINUX64,1000,72,0,abe-a-12,LINUX64,1000,85,0,abe-a-07,LINUX64,1000
3,image1.pgm,59,74,0,abe-a-12,LINUX64,1000,74,0,abe-a-12,LINUX64,1000,81,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,85,0,abe-a-12,LINUX64,1000,85,0,abe-a-12,LINUX64,1000,64,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,84,0,abe-a-12,LINUX64,1000,84,0,abe-a-12,LINUX64,1000,71,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,83,0,abe-a-12,LINUX64,1000,83,0,abe-a-12,LINUX64,1000,74,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,65,0,abe-a-12,LINUX64,1000,65,0,abe-a-12,LINUX64,1000,84,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,83,0,abe-a-12,LINUX64,1000,83,0,abe-a-12,LINUX64,1000,72,0,abe-a-07,LINUX64,1000
3,image1.pgm,51,71,0,abe-a-12,LINUX64,1000,71,0,abe-a-12,LINUX64,1000,85,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,81,0,abe-a-12,LINUX64,1000,81,0,abe-a-12,LINUX64,1000,76,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,72,0,abe-a-12,LINUX64,1000,72,0,abe-a-12,LINUX64,1000,67,0,abe-a-07,LINUX64,1000
3,image1.pgm,58,82,0,abe-a-12,LINUX64,1000,82,0,abe-a-12,LINUX64,1000,74,0,abe-a-07,LINUX64,1000
3,image1.pgm,57,74,0,abe-a-12,LINUX64,1000,74,0,abe-a-12,LINUX64,1000,81,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,73,0,abe-a-12,LINUX64,1000,73,0,abe-a-12,LINUX64,1000,82,0,abe-a-07,LINUX64,1000
3,image1.pgm,58,74,0,abe-a-12,LINUX64,1000,74,0,abe-a-12,LINUX64,1000,83,0,abe-a-07,LINUX64,1000
3,image1.pgm,56,76,0,abe-a-12,LINUX64,1000,76,0,abe-a-12,LINUX64,1000,81,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,71,0,abe-a-12,LINUX64,1000,71,0,abe-a-12,LINUX64,1000,86,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,72,0,abe-a-12,LINUX64,1000,72,0,abe-a-12,LINUX64,1000,81,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,64,0,abe-a-12,LINUX64,1000,64,0,abe-a-12,LINUX64,1000,72,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,82,0,abe-a-12,LINUX64,1000,82,0,abe-a-12,LINUX64,1000,67,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,72,0,abe-a-12,LINUX64,1000,72,0,abe-a-12,LINUX64,1000,63,0,abe-a-07,LINUX64,1000
3,image1.pgm,56,72,0,abe-a-12,LINUX64,1000,72,0,abe-a-12,LINUX64,1000,82,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,74,0,abe-a-12,LINUX64,1000,74,0,abe-a-12,LINUX64,1000,84,0,abe-a-07,LINUX64,1000
3,image1.pgm,61,71,0,abe-a-12,LINUX64,1000,71,0,abe-a-12,LINUX64,1000,65,0,abe-a-07,LINUX64,1000
3,image1.pgm,57,73,0,abe-a-12,LINUX64,1000,73,0,abe-a-12,LINUX64,1000,83,0,abe-a-07,LINUX64,1000
3,image1.pgm,57,83,0,abe-a-12,LINUX64,1000,83,0,abe-a-12,LINUX64,1000,65,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,88,0,abe-a-12,LINUX64,1000,88,0,abe-a-12,LINUX64,1000,59,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,80,0,abe-a-12,LINUX64,1000,80,0,abe-a-12,LINUX64,1000,68,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,71,0,abe-a-12,LINUX64,1000,71,0,abe-a-12,LINUX64,1000,69,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,66,0,abe-a-12,LINUX64,1000,66,0,abe-a-12,LINUX64,1000,73,0,abe-a-07,LINUX64,1000
3,image1.pgm,58,73,0,abe-a-12,LINUX64,1000,73,0,abe-a-12,LINUX64,1000,82,0,abe-a-07,LINUX64,1000
3,image1.pgm,63,71,0,abe-a-12,LINUX64,1000,71,0,abe-a-12,LINUX64,1000,85,0,abe-a-07,LINUX64,1000
3,image1.pgm,57,86,0,abe-a-12,LINUX64,1000,86,0,abe-a-12,LINUX64,1000,71,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,84,0,abe-a-12,LINUX64,1000,84,0,abe-a-12,LINUX64,1000,63,0,abe-a-07,LINUX64,1000
3,image1.pgm,57,83,0,abe-a-12,LINUX64,1000,83,0,abe-a-12,LINUX64,1000,71,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,71,0,abe-a-12,LINUX64,1000,71,0,abe-a-12,LINUX64,1000,83,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,73,0,abe-a-12,LINUX64,1000,73,0,abe-a-12,LINUX64,1000,83,0,abe-a-07,LINUX64,1000
3,image1.pgm,53,73,0,abe-a-12,LINUX64,1000,73,0,abe-a-12,LINUX64,1000,84,0,abe-a-07,LINUX64,1000
3,image1.pgm,55,83,0,abe-a-12,LINUX64,1000,83,0,abe-a-12,LINUX64,1000,73,0,abe-a-07,LINUX64,1000
3,image1.pgm,54,82,0,abe-a-12,LINUX64,1000,82,0,abe-a-12,LINUX64,1000,73,0,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,143,120,0,abe-a-12,LINUX64,1000,120,0,abe-a-12,LINUX64,1000,165,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,145,194,10,abe-a-12,LINUX64,1000,194,10,abe-a-12,LINUX64,1000,164,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,141,159,10,abe-a-12,LINUX64,1000,159,10,abe-a-12,LINUX64,1000,200,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,145,158,10,abe-a-12,LINUX64,1000,158,10,abe-a-12,LINUX64,1000,124,0,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,146,165,10,abe-a-12,LINUX64,1000,165,10,abe-a-12,LINUX64,1000,194,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,146,163,10,abe-a-12,LINUX64,1000,163,10,abe-a-12,LINUX64,1000,174,20,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,139,178,10,abe-a-12,LINUX64,1000,178,10,abe-a-12,LINUX64,1000,128,0,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,153,177,10,abe-a-12,LINUX64,1000,177,10,abe-a-12,LINUX64,1000,167,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,145,172,10,abe-a-12,LINUX64,1000,172,10,abe-a-12,LINUX64,1000,166,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,148,165,20,abe-a-12,LINUX64,1000,165,20,abe-a-12,LINUX64,1000,142,0,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,131,180,0,abe-a-12,LINUX64,1000,180,0,abe-a-12,LINUX64,1000,141,0,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,140,171,10,abe-a-12,LINUX64,1000,171,10,abe-a-12,LINUX64,1000,128,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,137,164,10,abe-a-12,LINUX64,1000,164,10,abe-a-12,LINUX64,1000,179,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,148,170,10,abe-a-12,LINUX64,1000,170,10,abe-a-12,LINUX64,1000,168,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,153,170,10,abe-a-12,LINUX64,1000,170,10,abe-a-12,LINUX64,1000,168,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,157,166,10,abe-a-12,LINUX64,1000,166,10,abe-a-12,LINUX64,1000,145,0,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,149,164,20,abe-a-12,LINUX64,1000,164,20,abe-a-12,LINUX64,1000,128,0,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,133,183,0,abe-a-12,LINUX64,1000,183,0,abe-a-12,LINUX64,1000,186,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,140,161,10,abe-a-12,LINUX64,1000,161,10,abe-a-12,LINUX64,1000,196,0,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,144,162,10,abe-a-12,LINUX64,1000,162,10,abe-a-12,LINUX64,1000,194,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,141,197,10,abe-a-12,LINUX64,1000,197,10,abe-a-12,LINUX64,1000,162,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,143,163,20,abe-a-12,LINUX64,1000,163,20,abe-a-12,LINUX64,1000,193,20,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,143,197,10,abe-a-12,LINUX64,1000,197,10,abe-a-12,LINUX64,1000,160,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,144,159,10,abe-a-12,LINUX64,1000,159,10,abe-a-12,LINUX64,1000,199,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,139,158,10,abe-a-12,LINUX64,1000,158,10,abe-a-12,LINUX64,1000,201,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,144,161,20,abe-a-12,LINUX64,1000,161,20,abe-a-12,LINUX64,1000,197,20,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,141,163,10,abe-a-12,LINUX64,1000,163,10,abe-a-12,LINUX64,1000,123,0,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,139,161,20,abe-a-12,LINUX64,1000,161,20,abe-a-12,LINUX64,1000,200,10,abe-a-07,LINUX64,1000
3,MontagneFoncee.pgm,146,158,10,abe-a-12,LINUX64,1000,158,10,abe-a-12,LINUX64,1000,199,10,abe-a-07,LINUX64,1000
