number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed,node_3_lines_handled,node_3_duration(ms),node_3_name,node_3_arch,node_3_speed
4,image1.pgm,52,59,0,abe-a-12,LINUX64,1000,59,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,59,0,abe-a-12,LINUX64,1000,59,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,51,0,abe-a-14,LINUX64,1000
4,image1.pgm,47,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,66,0,abe-a-07,LINUX64,1000,47,0,abe-a-14,LINUX64,1000
4,image1.pgm,44,65,0,abe-a-12,LINUX64,1000,65,0,abe-a-12,LINUX64,1000,53,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,53,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,51,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,51,0,abe-a-12,LINUX64,1000,51,0,abe-a-12,LINUX64,1000,54,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,53,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,52,0,abe-a-12,LINUX64,1000,52,0,abe-a-12,LINUX64,1000,64,0,abe-a-07,LINUX64,1000,52,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,60,0,abe-a-12,LINUX64,1000,60,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,49,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,52,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
